Geo Point;Geo Shape;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;mode_;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.85162059003447, 2.361524965507838;"{""coordinates"": [2.361524965507838, 48.85162059003447], ""type"": ""Point""}";107067;Sully-Morland;;;71201;Sully Morland;44911;Sully Morland;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653148.7307;6861476.0206
48.87023324246549, 2.325163546827897;"{""coordinates"": [2.325163546827897, 48.87023324246549], ""type"": ""Point""}";108039;Madeleine;;;71324;Madeleine;43898;Madeleine;A01541 / A01545 / A01547;C01378 / C01382 / C01384;METRO 8 / METRO 12 / METRO 14;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650498.2822;6863567.7761
48.86325794403164, 2.3666610947164903;"{""coordinates"": [2.36666109471649, 48.86325794403164], ""type"": ""Point""}";108053;Filles du Calvaire;;;71277;Filles Du Calvaire;58727;Filles du Calvaire;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653535.9904;6862766.9605
48.850177860965836, 2.3840922100662953;"{""coordinates"": [2.384092210066295, 48.850177860965836], ""type"": ""Point""}";108063;Faidherbe Chaligny;;;74001;Faidherbe Chaligny;42980;Faidherbe Chaligny;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654803.4286;6861302.4487
48.82662006452886, 2.405851943981901;"{""coordinates"": [2.405851943981901, 48.82662006452886], ""type"": ""Point""}";108077;Liberté;;;71558;Liberté;43811;Liberté;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;656380.4618;6858670.8213
48.81480300606579, 2.4223761428456223;"{""coordinates"": [2.422376142845622, 48.81480300606579], ""type"": ""Point""}";108081;École Vétérinaire de Maisons-Alfort;;;70522;École Vétérinaire de Maisons-Alfort;42889;École Vétérinaire de Maisons-Alfort;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;657583.9566;6857347.8995
48.86533531632652, 2.41669727285771;"{""coordinates"": [2.41669727285771, 48.86533531632652], ""type"": ""Point""}";103033;Gallieni;Parc de Bagnolet;;71817;Gallieni;47890;Gallieni;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;657208.4603;6862969.6694
48.86147646279582, 2.3739435082451816;"{""coordinates"": [2.373943508245182, 48.86147646279582], ""type"": ""Point""}";109073;Saint-Ambroise;;;71781;Saint-Ambroise;45205;Saint-Ambroise;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654068.6725;6862564.6133
48.88459420710098, 2.337949777055662;"{""coordinates"": [2.337949777055662, 48.88459420710098], ""type"": ""Point""}";112075;Abbesses;Butte Montmartre;;71432;Abbesses;42155;Abbesses;A01545;C01382;METRO 12;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651449.5655;6865156.6779
48.87126214352652, 2.2932406499473132;"{""coordinates"": [2.293240649947313, 48.87126214352652], ""type"": ""Point""}";106083;Kléber;;;73656;Kléber;43498;Kléber;A01539;C01376;METRO 6;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;648157.7063;6863702.6675
